gen,nevals,avg,std,min,max,sigma,individuals
0,100,-6.114825358892739,10.118082082412784,-12.793859310432293,40.957117753739965,9.667730674536028,"[[ 40.95711775]
 [ 25.82453911]
 [ 25.52709599]
 [ 19.2036746 ]
 [ 18.25576442]
 [ 18.06258488]
 [ 11.03980043]
 [ 11.03980043]
 [ 11.02041418]
 [ 10.99485472]
 [  4.70501105]
 [  3.5463045 ]
 [  3.53980043]
 [  3.52685541]
 [  3.46961779]
 [  3.45089691]
 [  3.37173894]
 [  3.33623505]
 [  3.14082171]
 [  1.99142365]
 [ -3.89418697]
 [ -3.97958582]
 [ -3.98600638]
 [ -4.00514528]
 [ -4.00514528]
 [ -4.01780355]
 [ -4.07992034]
 [ -4.12826106]
 [ -4.18708883]
 [ -4.22157245]
 [ -4.25547156]
 [ -4.75810042]
 [ -9.83996185]
 [-10.22397558]
 [-10.28332711]
 [-11.4536955 ]
 [-11.46019957]
 [-11.47314459]
 [-11.47958582]
 [-11.49240638]
 [-11.49878597]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51148443]
 [-11.52410277]
 [-11.53664199]
 [-11.54288225]
 [-11.54910309]
 [-11.54910309]
 [-11.54910309]
 [-11.54910309]
 [-11.54910309]
 [-11.56148703]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.60423675]
 [-11.62228199]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.65200021]
 [-11.66376495]
 [-11.66962147]
 [-11.66962147]
 [-11.69287755]
 [-11.69864956]
 [-11.70440496]
 [-11.71014384]
 [-11.71586631]
 [-11.72157245]
 [-11.72726235]
 [-11.74423558]
 [-11.76664478]
 [-11.76664478]
 [-11.77775592]
 [-11.77775592]
 [-11.78328842]
 [-11.84315684]
 [-11.85917829]
 [-11.86978839]
 [-11.98792285]
 [-12.01762637]
 [-12.77375864]
 [-12.79385931]]"
1,100,-5.6547500189194775,11.817808776107618,-12.881893081265842,47.166535434975344,9.40821159493096,"[[ 47.16653543]
 [ 33.37173894]
 [ 33.27273765]
 [ 26.05937645]
 [ 18.42620524]
 [ 18.42007966]
 [ 18.11440125]
 [ 18.00212688]
 [ 17.82191025]
 [ 12.89195791]
 [ 12.73439615]
 [ 10.95711775]
 [  9.45875774]
 [  5.14549263]
 [  5.10248022]
 [  3.50121403]
 [  3.49485472]
 [  3.38371502]
 [  2.08960287]
 [ -2.48086517]
 [ -3.96019957]
 [ -3.96019957]
 [ -3.96668255]
 [ -4.12826106]
 [ -4.13422232]
 [ -4.13422232]
 [ -4.16376495]
 [ -4.23293611]
 [ -4.27775592]
 [-10.42987152]
 [-11.40088715]
 [-11.46019957]
 [-11.46668255]
 [-11.47958582]
 [-11.47958582]
 [-11.49878597]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51148443]
 [-11.51148443]
 [-11.52410277]
 [-11.53038221]
 [-11.53664199]
 [-11.53664199]
 [-11.54288225]
 [-11.54288225]
 [-11.56148703]
 [-11.56765036]
 [-11.57379476]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.60423675]
 [-11.60423675]
 [-11.61026994]
 [-11.62228199]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.66962147]
 [-11.66962147]
 [-11.69287755]
 [-11.69864956]
 [-11.70440496]
 [-11.71014384]
 [-11.71586631]
 [-11.72157245]
 [-11.72726235]
 [-11.73859383]
 [-11.75547156]
 [-11.77775592]
 [-11.83240413]
 [-11.84851159]
 [-11.86449037]
 [-11.93741512]
 [-11.96282842]
 [-12.00282976]
 [-12.15986639]
 [-12.40911553]
 [-12.88189308]]"
2,100,-7.578016980959412,7.880216238416608,-12.894611725082425,25.66759587478513,9.190931838474839,"[[ 25.66759587]
 [ 18.45711775]
 [ 17.14702309]
 [ 12.12522839]
 [ 11.0528298 ]
 [ 10.99485472]
 [ 10.97589723]
 [ 10.79559504]
 [  5.28037519]
 [  4.2036746 ]
 [  3.42007966]
 [  3.40181469]
 [  3.31871669]
 [ -2.20406053]
 [ -2.75979743]
 [ -3.98600638]
 [ -3.99240638]
 [ -4.01148443]
 [ -4.02410277]
 [ -4.04288225]
 [ -4.04910309]
 [ -4.16376495]
 [ -4.17546089]
 [ -4.22157245]
 [ -4.22726235]
 [ -4.27775592]
 [ -4.28328842]
 [ -4.55655704]
 [ -9.7956796 ]
 [-10.03455967]
 [-10.06087584]
 [-11.39418697]
 [-11.46019957]
 [-11.46019957]
 [-11.49240638]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51148443]
 [-11.51148443]
 [-11.52410277]
 [-11.53038221]
 [-11.53038221]
 [-11.53664199]
 [-11.53664199]
 [-11.53664199]
 [-11.54288225]
 [-11.54910309]
 [-11.54910309]
 [-11.56148703]
 [-11.57379476]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.5921155 ]
 [-11.61026994]
 [-11.61026994]
 [-11.62826106]
 [-11.63422232]
 [-11.64609179]
 [-11.64609179]
 [-11.65200021]
 [-11.65200021]
 [-11.66376495]
 [-11.66376495]
 [-11.66376495]
 [-11.66962147]
 [-11.66962147]
 [-11.67546089]
 [-11.68128331]
 [-11.69287755]
 [-11.69287755]
 [-11.71014384]
 [-11.72726235]
 [-11.80526667]
 [-11.8107237 ]
 [-11.87507241]
 [-11.90648667]
 [-11.93741512]
 [-11.95777153]
 [-12.10887869]
 [-12.83998986]
 [-12.84649393]
 [-12.87870074]
 [-12.89461173]]"
3,100,-5.717007816784926,9.732676724494068,-12.904097908874451,26.065944597187556,8.996323734548458,"[[ 26.0659446 ]
 [ 26.03980043]
 [ 19.45400088]
 [ 18.46961779]
 [ 18.29559504]
 [ 18.20020529]
 [ 18.14082171]
 [ 12.45223896]
 [ 11.03980043]
 [ 11.03331745]
 [ 10.76140617]
 [ 10.71671158]
 [  4.90028799]
 [  3.53980043]
 [  3.53331745]
 [  3.48851557]
 [  3.41397278]
 [  3.30135044]
 [  3.28413369]
 [  3.23335522]
 [  3.17299399]
 [ -2.6875004 ]
 [ -2.95149335]
 [ -3.30535476]
 [ -3.9536955 ]
 [ -3.96019957]
 [ -4.00514528]
 [ -4.01148443]
 [ -4.02410277]
 [ -4.03664199]
 [ -4.11026994]
 [ -4.12228199]
 [ -4.13422232]
 [ -4.24986146]
 [ -4.26664478]
 [ -4.75810042]
 [-11.38746428]
 [-11.40756495]
 [-11.42085403]
 [-11.42746561]
 [-11.4471702 ]
 [-11.46019957]
 [-11.46019957]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51148443]
 [-11.51780355]
 [-11.52410277]
 [-11.53038221]
 [-11.53664199]
 [-11.54288225]
 [-11.54910309]
 [-11.54910309]
 [-11.56148703]
 [-11.56765036]
 [-11.56765036]
 [-11.57379476]
 [-11.57379476]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.5921155 ]
 [-11.59818531]
 [-11.59818531]
 [-11.60423675]
 [-11.61628498]
 [-11.62228199]
 [-11.62826106]
 [-11.62826106]
 [-11.63422232]
 [-11.64016586]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.65200021]
 [-11.65200021]
 [-11.66962147]
 [-11.67546089]
 [-11.68128331]
 [-11.68128331]
 [-11.69287755]
 [-11.69287755]
 [-11.69864956]
 [-11.76106597]
 [-11.76664478]
 [-11.78880567]
 [-11.79979471]
 [-11.83240413]
 [-11.84851159]
 [-11.86449037]
 [-11.90648667]
 [-12.00777413]
 [-12.84649393]
 [-12.90409791]]"
4,100,-6.674965219740387,9.76554251623134,-12.938500633591545,32.19285160413037,8.83284058726181,"[[ 32.1928516 ]
 [ 25.72779194]
 [ 19.41339035]
 [ 18.33623505]
 [ 18.28413369]
 [ 18.27273765]
 [ 18.22224408]
 [ 11.7036746 ]
 [ 10.94469535]
 [ 10.92007966]
 [ 10.85390821]
 [  9.73975493]
 [  3.55937645]
 [  3.34799979]
 [  3.25013854]
 [  3.15148841]
 [ -2.21962481]
 [ -3.9340554 ]
 [ -4.00514528]
 [ -4.03038221]
 [ -4.03038221]
 [ -4.04910309]
 [ -4.04910309]
 [ -4.15789124]
 [ -4.24423558]
 [ -4.36449037]
 [ -4.42715869]
 [ -4.62291384]
 [-10.15034763]
 [-10.1875004 ]
 [-10.42987152]
 [-10.50454686]
 [-11.4471702 ]
 [-11.48600638]
 [-11.49240638]
 [-11.49240638]
 [-11.49240638]
 [-11.49240638]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51780355]
 [-11.51780355]
 [-11.53038221]
 [-11.53038221]
 [-11.53664199]
 [-11.54910309]
 [-11.54910309]
 [-11.56148703]
 [-11.56148703]
 [-11.57379476]
 [-11.57992034]
 [-11.57992034]
 [-11.59818531]
 [-11.60423675]
 [-11.61628498]
 [-11.61628498]
 [-11.61628498]
 [-11.61628498]
 [-11.62228199]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.65200021]
 [-11.65200021]
 [-11.69287755]
 [-11.69287755]
 [-11.69287755]
 [-11.69287755]
 [-11.70440496]
 [-11.72157245]
 [-11.72157245]
 [-11.72157245]
 [-11.72157245]
 [-11.72726235]
 [-11.73859383]
 [-11.74986146]
 [-11.74986146]
 [-11.76664478]
 [-11.77220806]
 [-11.8107237 ]
 [-11.8107237 ]
 [-11.81616588]
 [-11.89606998]
 [-11.92715869]
 [-11.96282842]
 [-12.15986639]
 [-12.21404578]
 [-12.36003331]
 [-12.7703888 ]
 [-12.89777879]
 [-12.93850063]]"
5,100,-3.9917321496106206,13.258774846838547,-12.843244535613035,47.98237362911481,8.69397710980813,"[[ 47.98237363]
 [ 40.61440125]
 [ 40.13583019]
 [ 33.44469535]
 [ 33.38973006]
 [ 25.96961779]
 [ 25.87173894]
 [ 19.51650597]
 [ 17.04605527]
 [ 12.1140863 ]
 [ 11.03980043]
 [ 11.00121403]
 [ 10.99485472]
 [ 10.73335522]
 [  5.24960535]
 [  4.6140863 ]
 [  4.42346594]
 [  3.53980043]
 [  3.48219645]
 [  3.48219645]
 [  3.43234964]
 [  3.32453911]
 [  3.23893403]
 [  3.22779194]
 [ -3.96019957]
 [ -3.98600638]
 [ -4.00514528]
 [ -4.01780355]
 [ -4.04910309]
 [ -4.05530465]
 [ -4.09818531]
 [ -4.09818531]
 [ -4.15789124]
 [ -4.16962147]
 [ -4.26664478]
 [ -4.32700601]
 [ -4.32700601]
 [ -4.72736436]
 [ -9.89751978]
 [-10.02127059]
 [-10.84107   ]
 [-11.46019957]
 [-11.46019957]
 [-11.48600638]
 [-11.49240638]
 [-11.49240638]
 [-11.49878597]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51780355]
 [-11.51780355]
 [-11.51780355]
 [-11.52410277]
 [-11.53664199]
 [-11.53664199]
 [-11.54910309]
 [-11.54910309]
 [-11.54910309]
 [-11.55530465]
 [-11.56765036]
 [-11.56765036]
 [-11.56765036]
 [-11.57379476]
 [-11.57992034]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.58602722]
 [-11.60423675]
 [-11.61026994]
 [-11.62826106]
 [-11.62826106]
 [-11.63422232]
 [-11.64609179]
 [-11.64609179]
 [-11.65200021]
 [-11.65200021]
 [-11.66376495]
 [-11.66376495]
 [-11.66376495]
 [-11.68708883]
 [-11.69287755]
 [-11.72726235]
 [-11.72726235]
 [-11.77220806]
 [-11.88559875]
 [-11.97290401]
 [-12.00282976]
 [-12.18713954]
 [-12.38472498]
 [-12.80383439]
 [-12.84324454]]"
6,100,-2.876486540904444,11.982874697585952,-12.849738047810776,40.988515572826174,8.573440333563658,"[[ 40.98851557]
 [ 32.93862948]
 [ 26.99545314]
 [ 26.98500926]
 [ 25.93851297]
 [ 25.9078845 ]
 [ 25.86577768]
 [ 18.52041418]
 [ 11.91339035]
 [ 11.0659446 ]
 [ 11.02685541]
 [ 11.00759362]
 [ 11.00759362]
 [ 10.95711775]
 [ 10.94469535]
 [ 10.85983414]
 [ 10.80135044]
 [ 10.69473333]
 [  5.31162583]
 [  5.21930174]
 [  5.0603734 ]
 [  5.04653252]
 [  3.59911285]
 [  3.55937645]
 [  3.51399362]
 [  3.45089691]
 [  3.45089691]
 [  3.33623505]
 [  3.27842755]
 [ -1.86426245]
 [ -2.20406053]
 [ -2.25039465]
 [ -2.41165412]
 [ -2.5739052 ]
 [ -2.72397558]
 [ -2.8859137 ]
 [ -3.00454686]
 [ -3.2963254 ]
 [ -3.8535076 ]
 [ -3.90088715]
 [ -3.96019957]
 [ -4.06765036]
 [ -4.09818531]
 [ -4.11628498]
 [ -4.14016586]
 [ -4.19287755]
 [ -5.30383439]
 [ -5.41039713]
 [ -9.55824699]
 [ -9.83996185]
 [ -9.96721324]
 [-11.42085403]
 [-11.4340554 ]
 [-11.44062355]
 [-11.4536955 ]
 [-11.46019957]
 [-11.46668255]
 [-11.49878597]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51148443]
 [-11.51780355]
 [-11.51780355]
 [-11.52410277]
 [-11.53038221]
 [-11.53664199]
 [-11.54910309]
 [-11.54910309]
 [-11.55530465]
 [-11.55530465]
 [-11.58602722]
 [-11.59818531]
 [-11.61026994]
 [-11.63422232]
 [-11.66376495]
 [-11.66376495]
 [-11.69287755]
 [-11.73859383]
 [-11.76664478]
 [-11.77220806]
 [-11.78880567]
 [-11.84851159]
 [-11.84851159]
 [-11.85917829]
 [-11.87507241]
 [-11.88034251]
 [-11.93229348]
 [-11.95777153]
 [-11.99787312]
 [-12.62709609]
 [-12.84973805]]"
7,100,0.9423603777697744,15.200991854159678,-11.89084121721315,48.47589723443964,8.468894610044847,"[[ 48.47589723]
 [ 48.26706389]
 [ 40.77842755]
 [ 33.43234964]
 [ 27.01650597]
 [ 26.7036746 ]
 [ 25.84799979]
 [ 25.81871669]
 [ 25.78413369]
 [ 25.77273765]
 [ 25.65148841]
 [ 19.97872941]
 [ 18.43234964]
 [ 18.38973006]
 [ 18.37173894]
 [ 18.34799979]
 [ 18.28413369]
 [ 18.27273765]
 [ 18.27273765]
 [ 18.17840671]
 [ 18.04222847]
 [ 12.97565213]
 [ 12.07012848]
 [ 11.90336527]
 [ 11.05937645]
 [ 11.03331745]
 [ 11.00759362]
 [ 11.00121403]
 [ 10.95089691]
 [ 10.86577768]
 [ 10.74452844]
 [  4.67042805]
 [  3.60581303]
 [  3.57253439]
 [  3.53980043]
 [  3.51399362]
 [  3.45089691]
 [  3.33623505]
 [ -2.38328485]
 [ -2.48086517]
 [ -3.87395071]
 [ -3.9340554 ]
 [ -3.94062355]
 [ -3.96019957]
 [ -3.96019957]
 [ -3.96019957]
 [ -3.98600638]
 [ -3.99240638]
 [ -3.99878597]
 [ -4.03038221]
 [ -4.04910309]
 [ -4.29979471]
 [ -4.38034251]
 [ -4.38034251]
 [ -9.54136925]
 [ -9.99442455]
 [-10.00789261]
 [-10.0739052 ]
 [-10.27159687]
 [-10.44071165]
 [-10.45149335]
 [-10.57653406]
 [-11.44062355]
 [-11.4471702 ]
 [-11.4536955 ]
 [-11.46019957]
 [-11.46019957]
 [-11.46019957]
 [-11.46019957]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51148443]
 [-11.53038221]
 [-11.53664199]
 [-11.53664199]
 [-11.53664199]
 [-11.53664199]
 [-11.54910309]
 [-11.54910309]
 [-11.56148703]
 [-11.56148703]
 [-11.58602722]
 [-11.61628498]
 [-11.62826106]
 [-11.62826106]
 [-11.64609179]
 [-11.65200021]
 [-11.66376495]
 [-11.67546089]
 [-11.68708883]
 [-11.69864956]
 [-11.72726235]
 [-11.72726235]
 [-11.74423558]
 [-11.76106597]
 [-11.76664478]
 [-11.89084122]]"
8,100,-0.7274022555962506,13.971051184238748,-11.880342505440863,48.53980043405285,8.381261806577625,"[[ 48.53980043]
 [ 40.77273765]
 [ 33.48851557]
 [ 27.3621916 ]
 [ 27.00595186]
 [ 25.90181469]
 [ 25.85983414]
 [ 25.77273765]
 [ 25.64082171]
 [ 25.25063322]
 [ 24.79822857]
 [ 19.59198663]
 [ 18.55937645]
 [ 18.33037853]
 [ 18.18383412]
 [ 12.60248022]
 [ 12.3124996 ]
 [ 12.24020257]
 [ 11.00759362]
 [ 10.88973006]
 [ 10.81871669]
 [  5.04653252]
 [  5.00557545]
 [  4.80026714]
 [  4.6140863 ]
 [  4.45400088]
 [  4.41339035]
 [  3.52041418]
 [  3.50759362]
 [  3.46335801]
 [  3.44469535]
 [  3.43851297]
 [  3.42620524]
 [  3.40181469]
 [  3.30712245]
 [  3.24452844]
 [  3.16221229]
 [ -2.75979743]
 [ -3.2963254 ]
 [ -3.2963254 ]
 [ -3.92746561]
 [ -3.97958582]
 [ -4.02410277]
 [ -4.03038221]
 [ -4.04288225]
 [ -4.04910309]
 [ -4.04910309]
 [ -4.07379476]
 [ -4.09818531]
 [ -4.14609179]
 [ -4.18708883]
 [ -4.3107237 ]
 [ -9.4723969 ]
 [-10.21189095]
 [-10.24792796]
 [-10.7963254 ]
 [-10.7963254 ]
 [-11.34664653]
 [-11.42085403]
 [-11.46019957]
 [-11.46019957]
 [-11.46668255]
 [-11.46668255]
 [-11.46668255]
 [-11.49240638]
 [-11.49240638]
 [-11.49878597]
 [-11.50514528]
 [-11.50514528]
 [-11.51780355]
 [-11.51780355]
 [-11.52410277]
 [-11.53038221]
 [-11.54288225]
 [-11.56148703]
 [-11.57992034]
 [-11.60423675]
 [-11.62228199]
 [-11.64609179]
 [-11.64609179]
 [-11.64609179]
 [-11.66376495]
 [-11.66962147]
 [-11.68128331]
 [-11.69864956]
 [-11.72726235]
 [-11.72726235]
 [-11.73293611]
 [-11.76106597]
 [-11.77220806]
 [-11.77775592]
 [-11.78880567]
 [-11.79430774]
 [-11.79979471]
 [-11.79979471]
 [-11.80526667]
 [-11.81616588]
 [-11.83240413]
 [-11.87507241]
 [-11.88034251]]"
9,100,2.48021341046726,16.67161318104187,-12.875503299472802,55.98219645224544,8.30947898947648,"[[ 55.98219645]
 [ 48.45711775]
 [ 41.02685541]
 [ 40.85390821]
 [ 40.59351333]
 [ 34.96544033]
 [ 33.37173894]
 [ 33.28413369]
 [ 27.45223896]
 [ 26.10581303]
 [ 26.03980043]
 [ 25.95711775]
 [ 25.80135044]
 [ 25.77273765]
 [ 25.73893403]
 [ 25.65148841]
 [ 19.82480733]
 [ 19.55928835]
 [ 18.53331745]
 [ 18.41397278]
 [ 18.27273765]
 [ 17.9579533 ]
 [ 12.57431074]
 [ 11.95400088]
 [ 11.02685541]
 [ 10.98219645]
 [ 10.96961779]
 [ 10.92007966]
 [ 10.83623505]
 [ 10.49717024]
 [  5.24960535]
 [  5.16003815]
 [  4.72840313]
 [  4.59198663]
 [  4.57012848]
 [  3.57253439]
 [  3.52041418]
 [  3.43234964]
 [  3.43234964]
 [  3.40181469]
 [  3.25576442]
 [  2.85852454]
 [ -1.8079207 ]
 [ -2.52127059]
 [ -2.54776104]
 [ -2.90801337]
 [ -3.98600638]
 [ -3.98600638]
 [ -4.03038221]
 [ -4.03038221]
 [ -4.06148703]
 [ -4.07379476]
 [ -4.12826106]
 [ -4.16962147]
 [ -4.19287755]
 [ -4.19287755]
 [ -4.20440496]
 [ -5.2534539 ]
 [ -9.54136925]
 [ -9.7350689 ]
 [ -9.81054956]
 [ -9.82530977]
 [-10.00789261]
 [-10.27159687]
 [-10.30658319]
 [-11.33976185]
 [-11.4471702 ]
 [-11.4536955 ]
 [-11.46019957]
 [-11.49878597]
 [-11.50514528]
 [-11.50514528]
 [-11.50514528]
 [-11.51780355]
 [-11.53038221]
 [-11.53664199]
 [-11.53664199]
 [-11.54910309]
 [-11.56148703]
 [-11.56765036]
 [-11.57379476]
 [-11.57992034]
 [-11.58602722]
 [-11.59818531]
 [-11.60423675]
 [-11.61628498]
 [-11.62228199]
 [-11.62826106]
 [-11.66376495]
 [-11.66376495]
 [-11.76664478]
 [-11.77775592]
 [-11.78328842]
 [-11.79979471]
 [-11.86449037]
 [-11.91167474]
 [-11.91684939]
 [-12.38881078]
 [-12.80051489]
 [-12.8755033 ]]"
