gen,nevals,avg,std,min,max,sigma
0,100,7.5050676129124385,18.620855858723925,-6.476972362889683,87.73214184093668,9.665092358100873
1,100,7.294247401977639,17.489564868362187,-6.448889394146858,78.16246192029868,9.400042501046222
2,100,11.536077966278858,21.279540904227378,-6.429719478039138,79.01936107665802,9.180187014539698
3,100,18.03307726838429,22.389290131760628,-6.400257445308821,85.37959913428286,8.996621262137381
4,100,22.863128791729768,26.018681117187466,-6.393590753950631,87.73214184093668,8.842250473579032
5,100,26.92894070112863,25.918325327976174,-6.3080984415095305,87.44317193830047,8.71209661019609
6,100,32.79865554619577,29.148177903150554,-6.481577129276431,87.87603602059674,8.61181439699137
7,100,37.168230228311174,28.064888726579785,-6.406879986069314,88.44317193830047,8.507041766382306
8,100,37.05441757181357,27.132065856755183,-5.971261839790462,88.29288973525112,8.417330084724789
9,100,39.14010079135746,25.17657690411812,-6.396929655216146,85.42482618476618,8.340316397892046
