number,value,datetime_start,datetime_complete,duration,params_pop_size,params_sigma,state
0,90.35949388090707,2024-10-13 21:55:59.030079,2024-10-13 22:44:20.575386,0 days 00:48:21.545307,31,1.5161022327212252,COMPLETE
1,90.52584965285185,2024-10-13 21:55:59.032146,2024-10-14 00:21:06.071121,0 days 02:25:07.038975,113,2.040291500318617,COMPLETE
2,89.84058946334821,2024-10-13 21:55:59.032541,2024-10-13 23:32:49.638462,0 days 01:36:50.605921,72,6.31178081214135,COMPLETE
3,90.70702848997199,2024-10-13 21:55:59.033129,2024-10-14 01:40:37.195565,0 days 03:44:38.162436,183,5.850591525892092,COMPLETE
4,89.94585142026176,2024-10-13 21:55:59.034398,2024-10-13 22:40:37.939917,0 days 00:44:38.905519,28,0.11085716668284834,COMPLETE
5,91.00052637069834,2024-10-13 21:55:59.035180,2024-10-13 22:50:50.845846,0 days 00:54:51.810666,37,0.34291665665352705,COMPLETE
6,91.25127836653559,2024-10-13 21:55:59.036798,2024-10-14 00:14:55.395028,0 days 02:18:56.358230,107,1.1668403501578846,COMPLETE
7,88.84400548155148,2024-10-13 21:55:59.037169,2024-10-13 22:19:40.384119,0 days 00:23:41.346950,10,0.483349038109902,COMPLETE
8,90.1572986291765,2024-10-13 22:19:40.518902,2024-10-14 01:00:05.663336,0 days 02:40:25.144434,129,0.16348511291933002,COMPLETE
9,88.98379297804574,2024-10-13 22:40:38.169618,2024-10-13 23:29:50.184584,0 days 00:49:12.014966,28,0.23472901677943445,COMPLETE
10,90.40851773666934,2024-10-13 22:44:20.703709,2024-10-13 23:44:29.077185,0 days 01:00:08.373476,36,0.7308155556571959,COMPLETE
11,90.39833758104842,2024-10-13 22:50:51.025799,2024-10-14 01:02:56.363270,0 days 02:12:05.337471,111,0.846187076846825,COMPLETE
12,90.74912919280226,2024-10-13 23:29:50.321556,2024-10-14 03:18:37.281943,0 days 03:48:46.960387,178,1.024620169874259,COMPLETE
13,91.36045350032278,2024-10-13 23:32:49.749932,2024-10-14 01:18:54.319988,0 days 01:46:04.570056,76,3.3624550055900237,COMPLETE
14,90.52841827480616,2024-10-13 23:44:29.229516,2024-10-14 03:27:39.198972,0 days 03:43:09.969456,183,0.21620174549736804,COMPLETE
15,90.93977007909301,2024-10-14 00:14:55.636204,2024-10-14 01:20:09.801113,0 days 01:05:14.164909,42,4.6561283916712615,COMPLETE
16,90.97204702192994,2024-10-14 00:21:06.138102,2024-10-14 01:12:33.767681,0 days 00:51:27.629579,40,2.008064861399092,COMPLETE
17,90.19219847492448,2024-10-14 01:00:05.845655,2024-10-14 05:07:11.421848,0 days 04:07:05.576193,189,4.043365507334114,COMPLETE
18,90.59044765176392,2024-10-14 01:02:56.541642,2024-10-14 04:39:49.941246,0 days 03:36:53.399604,178,3.659513694416251,COMPLETE
19,91.0183804619979,2024-10-14 01:12:33.928783,2024-10-14 04:25:31.719569,0 days 03:12:57.790786,153,0.34909372787979304,COMPLETE
20,89.5121176410706,2024-10-14 01:18:54.428631,2024-10-14 05:03:21.389675,0 days 03:44:26.961044,175,5.255720637380167,COMPLETE
21,90.57191358736551,2024-10-14 01:20:09.917809,2024-10-14 04:54:35.488852,0 days 03:34:25.571043,176,3.5850224360767524,COMPLETE
22,90.90566362569447,2024-10-14 01:40:37.300401,2024-10-14 03:05:02.430219,0 days 01:24:25.129818,79,2.908224765648573,COMPLETE
23,90.24411752181514,2024-10-14 03:05:02.515274,2024-10-14 06:01:29.494886,0 days 02:56:26.979612,151,3.2401631742393784,COMPLETE
24,90.83936116173463,2024-10-14 03:18:37.474736,2024-10-14 05:08:46.610498,0 days 01:50:09.135762,81,3.203278540199288,COMPLETE
25,90.13723072081108,2024-10-14 03:27:39.304235,2024-10-14 06:01:43.877859,0 days 02:34:04.573624,147,9.652524607761839,COMPLETE
26,90.87789233236586,2024-10-14 04:25:31.884470,2024-10-14 05:59:55.545583,0 days 01:34:23.661113,80,3.609924907039307,COMPLETE
27,90.78034694103242,2024-10-14 04:39:50.031532,2024-10-14 06:05:10.119160,0 days 01:25:20.087628,80,8.055654927755011,COMPLETE
28,91.71253653291419,2024-10-14 04:54:35.675240,2024-10-14 06:40:57.481656,0 days 01:46:21.806416,143,8.641722421794059,COMPLETE
29,91.11444519038096,2024-10-14 05:03:21.504016,2024-10-14 06:35:18.961366,0 days 01:31:57.457350,141,0.5021109349904659,COMPLETE
