generation,max,mean,std
0,1.747427361174367,-5.5898721090216155,0.9094864109329797
1,1.769900217026426,-5.152220481869736,1.5159115513339572
2,1.769900217026426,-4.6825126039075,1.7472772317680492
3,6.513547994715562,-4.392746739017795,2.2547181566603514
4,6.513547994715562,-4.076056895431259,2.7383763548702906
5,6.570410856610105,-3.8267827834720993,3.058118453996707
6,6.570410856610105,-2.948598603887287,3.9744443403958267
7,11.760207087820767,-1.7682995411184568,4.811851219435324
8,11.760207087820767,-2.126862081018001,4.9491476768507825
9,11.760207087820767,-2.8138609778497408,4.82659053942705
