generation,max,mean,std,mean no. nodes
0,31.503547911380977,-3.254127593101761,5.365226466005736,15.0
1,31.503547911380977,-0.6508592320506527,6.8569136280888685,14.950495049504951
2,39.159358342626604,0.8687801427216448,9.28211466961948,15.0
3,53.76558927428163,2.862044243242284,11.461189537403758,15.009900990099009
4,53.76558927428163,2.051679353268923,10.938612530304546,14.98
5,53.76558927428163,2.93287595794637,11.256856262943097,15.237623762376238
6,53.76558927428163,3.37826596200677,12.72790049596188,15.32
7,53.76558927428163,5.143973034484358,13.062195703346758,15.080808080808081
8,70.27834181584893,6.1470737582631605,15.69166326850005,15.15
9,70.27834181584893,5.902699290392624,14.492846710016975,15.18
10,70.27834181584893,6.940066455724074,14.83414304876191,15.222222222222221
11,70.27834181584893,4.857279900299529,14.455533598138153,15.505050505050505
12,70.27834181584893,6.911586133348887,15.626972785731757,14.83838383838384
13,70.27834181584893,5.715755488967242,16.02455360048217,14.292929292929292
14,70.27834181584893,9.559603056635561,14.454156887667743,13.52
15,70.27834181584893,6.51218190012574,16.58461292741292,15.58
16,70.27834181584893,8.070813757005947,17.8686009059098,15.36
17,70.27834181584893,7.830095034877173,16.780158326974437,15.73
18,70.27834181584893,8.184058385287283,18.146351430113256,15.87
19,70.27834181584893,6.499262508018923,18.1829907250735,15.62
20,70.27834181584893,5.317133316485236,15.802598559699355,15.9
21,70.27834181584893,6.051513370421112,16.142245495249632,15.46
22,70.27834181584893,7.1135447148353546,17.378324117185812,15.39
23,70.27834181584893,7.741258252125778,17.60287769146028,15.47
24,78.75752803949327,9.715864722031267,20.766316271230327,15.49
25,78.75752803949327,6.099742030726166,18.246993818216836,15.71
26,78.75752803949327,7.918258436872952,18.685069957692942,15.6
27,78.75752803949327,9.848115119188044,19.585383169054925,15.61
28,78.75752803949327,7.564724769060414,17.9181236735203,15.9
29,78.75752803949327,8.467220935978608,19.44092599057512,16.13
30,78.75752803949327,8.603451611622434,19.129834592729676,15.73
31,78.75752803949327,8.018901013538256,18.596802262691988,16.03
32,78.75752803949327,4.988327726822377,17.897282534286628,15.63
33,78.75752803949327,9.386301161189389,20.960710205167082,15.75
34,78.75752803949327,9.334273255841593,19.544053285195837,15.79
35,78.75752803949327,10.521262297593863,19.26921752350943,15.65
36,78.75752803949327,7.287804632043976,18.7376126584676,16.03
37,78.75752803949327,7.318245511255454,20.610603053350687,15.88
38,78.75752803949327,8.178484772244191,19.518793927220234,15.83
39,78.75752803949327,9.272584347019585,19.343415413155988,15.93
40,78.75752803949327,9.426069789155541,19.172033689968746,15.82
41,78.75752803949327,7.189618803240204,18.315577098901365,15.66
42,78.75752803949327,7.698493967068632,19.77609850233661,15.87
43,78.75752803949327,7.911108649450941,18.7718367825185,15.58
44,78.75752803949327,7.700061247983983,18.241581709396588,15.35
45,78.75752803949327,10.653887763197533,20.001382476144823,15.53
46,78.75752803949327,6.251921146099391,18.702762587241608,15.22
47,78.75752803949327,6.994061380097609,18.75225861576295,15.16
48,78.75752803949327,8.046033478947367,18.830003829876983,15.13
49,78.75752803949327,9.095287569811635,18.095012586962543,15.27
50,78.75752803949327,8.873705481300933,17.910545590464398,15.57
51,78.75752803949327,5.279005877414152,17.399507729820265,15.62
52,78.75752803949327,8.449121822506601,18.26173174926345,15.59
53,78.75752803949327,8.10943002505638,17.988567411083494,15.5
54,78.75752803949327,7.000681471234174,18.45188836127754,15.44
55,78.75752803949327,7.0727794949041085,17.530981766737092,15.29
56,78.75752803949327,7.181482886035788,18.461201194140596,15.41
57,78.75752803949327,6.2602822268676785,18.102652544555188,15.41
58,78.75752803949327,8.154209988737723,18.338968945235386,15.78
59,78.75752803949327,10.700716056299887,19.9397003719678,15.7
60,78.75752803949327,10.991538939590741,20.04385056143657,15.71
61,78.75752803949327,8.967481951260908,19.823419200957186,15.26
62,78.75752803949327,9.60897330461508,21.35375213651976,15.24
63,78.75752803949327,9.008896870273436,19.269702867959836,15.22
64,78.75752803949327,9.50335506521324,19.377564104152178,15.3
65,78.75752803949327,9.095327546500059,17.959986153922173,15.14
66,78.75752803949327,8.301700376810837,18.412809351273072,14.98
67,78.75752803949327,11.013989963258862,20.268165622904494,15.08
68,78.75752803949327,9.695624212926116,19.25360521516934,14.66
69,78.75752803949327,9.65843486119515,20.820315311643316,14.73
70,78.75752803949327,8.00590165234497,18.199867542366654,14.53
71,78.75752803949327,7.876436908445953,17.557054729614148,14.91
72,78.75752803949327,7.752066679352652,17.95101794164866,15.38
73,78.75752803949327,9.32748392578375,19.574386489582093,15.34
74,78.75752803949327,11.289216653198082,19.35117916336731,15.02
75,78.75752803949327,9.347594085043687,18.588466415091638,14.83
76,78.75752803949327,8.78776505071544,19.49720551631105,15.45
77,78.91589126118623,9.418366794873918,20.811811398346233,15.15
78,78.91589126118623,7.961929803090666,18.790856303938014,15.24
79,78.91589126118623,7.097056674739424,18.65355857221951,15.57
80,78.91589126118623,9.827650626004901,20.752051487440987,15.18
81,78.91589126118623,7.919674299904128,18.978323727520156,15.14
82,78.91589126118623,7.650078792025056,18.72790718038291,15.08
83,78.91589126118623,6.96938942150606,18.2899888280205,14.65
84,78.91589126118623,9.624888866476764,18.873076855578002,14.75
85,78.91589126118623,8.366222583025014,18.471240662149974,14.99
86,78.91589126118623,11.67037354627404,19.968405160684338,15.44
87,78.91589126118623,11.395764719629428,20.644420889659383,15.08
88,78.91589126118623,8.489385019082038,20.34330664050935,15.08
89,78.91589126118623,6.140354755191151,17.525383967525478,15.14
90,78.91589126118623,8.256199904689865,18.19092623075355,15.06
91,78.91589126118623,11.112620447647243,19.37003961329738,14.79
92,78.91589126118623,8.002862183918227,18.42918174150864,14.6
93,78.91589126118623,8.668824784755019,19.111448277141143,14.77
94,78.91589126118623,7.30738822199653,18.765864370606895,14.53
95,78.91589126118623,9.91074997619157,19.60785529495082,14.91
96,78.91589126118623,8.781928939154037,19.697751924799352,14.44
97,78.91589126118623,8.981252567973948,19.840760917258283,14.2
98,78.91589126118623,7.827347400995853,19.33004950686065,14.2
99,78.91589126118623,9.92561561347514,19.69924525492115,14.03
