generation,max,mean,std,mean no. nodes
0,69.33567133779813,2.3604659237877486,18.752171779649885,6.0
1,70.99880012090712,13.301786235157554,25.744327856159394,6.36
2,70.99880012090712,,,6.71
3,70.99880012090712,31.790415416356858,30.309352081574943,7.03
4,72.99220800735446,,,7.39
5,80.40201565918937,33.87981106616432,32.62644946184338,7.71
6,80.40201565918937,34.255539307581664,34.003872150004554,7.97
7,81.39365048043229,41.24496297644453,33.75568353552759,8.57
8,81.39365048043229,38.47441967526102,32.72956546125659,8.64
9,81.39365048043229,42.764642845400815,32.229293108911236,9.09
10,81.39365048043229,,,9.34
11,81.39365048043229,,,9.39
12,81.39365048043229,,,9.75
13,81.39365048043229,42.99349515826092,31.711444567373228,9.94
14,81.39365048043229,,,10.01
15,81.39365048043229,,,10.25
16,81.39365048043229,,,10.08
17,81.39365048043229,,,11.12
18,,,,11.29
19,,,,10.38
20,,,,10.92
21,,,,11.08
22,,,,10.66
23,,,,10.9
24,,,,10.3
25,,,,10.52
26,,,,10.96
27,,,,10.58
28,,,,10.96
29,,,,10.77
30,,,,11.32
31,,,,10.71
32,,,,10.33
33,,,,10.36
34,,,,10.35
35,,,,10.68
36,,,,11.05
37,,,,11.12
38,,,,10.76
39,,,,10.75
40,,,,11.2
41,,,,11.05
42,,,,11.18
43,,,,10.87
44,,,,11.03
45,,,,11.27
46,,,,11.62
47,,,,11.51
48,,,,12.46
49,,,,12.01
50,,,,12.54
51,,,,12.74
52,,,,12.18
53,,,,11.54
54,,,,11.12
55,,,,11.37
56,,,,11.0
57,,,,10.44
58,,,,10.42
59,,,,10.19
60,,,,10.42
61,,,,10.74
62,,,,10.84
63,,,,10.81
64,,,,10.85
65,,,,10.74
66,,,,10.96
67,,,,11.13
68,,,,11.77
69,,,,11.95
70,,,,11.62
71,,,,11.64
72,,,,12.09
73,,,,10.71
74,,,,10.5
75,,,,10.81
76,,,,11.01
77,,,,11.36
78,,,,11.68
79,,,,11.61
80,,,,11.91
81,,,,11.77
82,,,,12.03
83,,,,12.16
84,,,,12.52
85,,,,12.72
86,,,,13.0
87,,,,13.13
88,,,,13.56
89,,,,13.54
90,,,,13.56
91,,,,12.98
92,,,,13.5
93,,,,13.16
94,,,,14.24
95,,,,14.49
96,,,,15.35
97,,,,14.74
98,,,,14.95
99,,,,15.46
